|,,,,,,,,,,,,,,,,,,,,,,,,,,MNAVA,,,LGONZALEZ,MORTEGA,JPEREZ,ARUIZ,SITURBE,IRUIZ,MVIZCAYA,NESTRADA,,TIPO DE MEMBRESÍAS,,,,,,,,,,,,
,CONCENTRADO DE VENTAS GLOBAL,,,,,,,,,,,,,,,,,TIPO DE MEMBRESÍAS,,,,,,,,"$820,550.00",,,"$542,656.00","$1,178,636.00","$685,807.40","$600,950.00","$788,059.00","$712,450.00","$14,240.00","$120,806.00",,BASICA,,EMPRENDEDOR,,,PREMIER,SIEM,,,,,,
,,,,,,,,,,Actualización,1513,,,,SIEM,1991,,BASICA,,EMPRENDEDOR,PYME,VISIONARIO,PREMIER,SIEM,,,,,,,,,,,,,,351,,0,,,71,63,,,,,,
,,,,,,,,,,Nueva,1662,,,,MEMBRESIA,1168,,351,,383,69,71,63,232,,,,,,,,,,,,,,190,,0,,,0,0,,,,,,
,,,,,,,,,,,,,,,783,1208,,190,,256,38,51,42,142,,,,,,,,,,,,,,161,,0,,,0,0,,,,,,
,,,,,,,,,,Ingreso,"$5,632,951.90",,,,718,450,,161,,127,31,20,21,90,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"INFORMACIÓN DE REPORTES DE VENTAS, ENTREGADO POR EL EQUIPO DE AFILIACIÓN CADA SEMANA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# REGISTRO,No. Mes,FECHA RENOVACION,FECHA RECIBO,# DE RECIBO,# DE FACTURA,CSF,ENGOMADO,Razón social,,,IMPORTE,METODO DE PAGO,Actualización,Nueva,VENDEDOR,TIPO DE AFILIACIÓN,TIPO DE MEMBRESÍA,CANTIDAD INDIVIDUAL,DIRECCIÓN FISCAL,MES DE RENOVACIÓN,RFC,EMAIL,WHATSAPP,TELEFFONO,CONTACTO,NOMBRE COMERCIAL,REPRESENTANTE LEGAL/DUEÑO,GIRO,DESCRIPCION,,,DIRECCION COMERCIAL,,CLASIFICACIÓN NIZA,,CONTACTO DE VENTAS,products_sells (4 principales productos que vende),CONTACTO DE COMPRAS,products_ buy (2 principales productos que compra),NÚMERO DE SUCURSALES,WEB,"tipo de contacto (contact type, contacts)",SERVICIOS DE INTERÉS,,,,,,
1,,1,5/1/2026,6/1/2025,,AF-6098,,14452,DISTRIBUIDORA LIVERPOOL,,,"$3,800.00",TC,1,,MNAVA,MEMBRESIA,EMPRENDEDOR,"$3,800.00","PROL VASCO DE QUIROGA #4800 TORRE 2, PISO 3 COL SANTA FE, CAUJIMALPA DE MORELOS, CDMX, 05348",ENE,DLI931201M19,elopeza@liverpool.com.mx,,4424278700,ELIZABETH LOPEZ AVILA,,,COMERCIO,LIVERPOOL PLAZA ANTEA,,,"CARRETERA, QRO SLP #12401 LOCAL 49 EL SALITRE",,,,,,,,,,afiliado,,,,,,,
2,,1,5/1/2026,6/1/2025,,AF-6100,,12769,DISTRIBUIDORA LIVERPOOL,,,"$3,800.00",TC,1,,MNAVA,MEMBRESIA,EMPRENDEDOR,"$3,800.00","PROL VASCO DE QUIROGA #4800 TORRE 2, PISO 3 COL SANTA FE, CAUJIMALPA DE MORELOS, CDMX, 05348",ENE,DLI931201M19,slmurga@liverpool.com.mx,,4424278700,SANDRA LUZ MURGA GOMEZ,,,COMERCIO,LIVERPOOL PLAZA PASEO QUERETARO ,,,ANILLO VIAL FRAY JUNIPERO SERRA #7901 COL LA PRADERA,,,,,,,,,,afiliado,,,,,,,
3,,1,5/1/2026,6/1/2025,,AF-6101,,12768,DISTRIBUIDORA LIVERPOOL,,,$640.00,TC,1,,MNAVA,SIEM, ,$640.00,"PROL VASCO DE QUIROGA #4800 TORRE 2, PISO 3 COL SANTA FE, CAUJIMALPA DE MORELOS, CDMX, 05348",ENE,DLI931201M19,elopeza@liverpool.com.mx,,4421961860,SANDRA LUZ MURGA GOMEZ,,,COMERCIO,MAC COSMETICOS PLAZA ANTEA,,,"CARRETERA, QRO SLP #12401 LOCAL 49 EL SALITRE",,,,,,,,,,afiliado,,,,,,,
